customerID;jobID;bookingTime;vaTime;startX;startY;endX;endY
99;AP22003412;05.03.2014 18:58;05.03.2014 19:00;476095.2613;5552375.61;476410.7051;5552531.849
100;AP22004735;05.03.2014 20:50;05.03.2014 20:52;476698.8828;5552279.443;476586.8173;5552450.129
101;AP22004735;05.03.2014 20:50;05.03.2014 20:52;476613.9742;5552260.645;476396.825;5552324
102;AP22012897;06.03.2014 15:08;06.03.2014 15:09;476609.4203;5552645.745;476890.2397;5552931.84
103;AP22012897;06.03.2014 15:08;06.03.2014 15:09;476895.1711;5552819.64;476864.9108;5552501.992
104;AP22017913;06.03.2014 20:05;06.03.2014 20:16;476870.2937;5552899.458;476873.1955;5552986.19
105;AP22017913;06.03.2014 20:05;06.03.2014 20:16;476720.294;5552570.64;476699.0145;5552269.952
106;AP22019948;07.03.2014 03:18;07.03.2014 03:37;476442.3927;5552508.175;476410.8881;5552493.624
107;AP22019948;07.03.2014 03:18;07.03.2014 03:37;476286.5905;5552480.272;476053.417;5552293.321
108;AP22046257;08.03.2014 19:38;08.03.2014 20:05;476273.1513;5552303.345;476408.9425;5552500.886
109;AP22046257;08.03.2014 19:38;08.03.2014 20:05;476276.983;5552478.57;476597.2623;5552367.323
110;AP22052377;09.03.2014 12:57;09.03.2014 18:36;476596.4192;5552663.2;476897.8895;5552803.781
111;AP22052377;09.03.2014 12:57;09.03.2014 18:36;476881.9965;5552603.618;476633.3055;5552602.251
112;AP22054140;09.03.2014 14:11;09.03.2014 14:59;476258.3605;5552586.674;475929.9229;5552364.015
113;AP22054140;09.03.2014 14:11;09.03.2014 14:59;476531.8981;5552521.963;475994.3498;5552314.157
114;AP22054157;09.03.2014 14:12;09.03.2014 14:59;476525.523;5552439.583;476207.4796;5552464.056
115;AP22054157;09.03.2014 14:12;09.03.2014 14:59;476423.721;5552298.804;476038.8058;5552422.868
116;AP22056614;09.03.2014 15:57;09.03.2014 17:28;476355.8552;5552242.223;476091.4761;5552203.176
117;AP22056614;09.03.2014 15:57;09.03.2014 17:28;476528.4816;5552387.654;475934.6263;5552342.806
118;AP22076820;10.03.2014 19:22;10.03.2014 19:40;476421.0345;5552530.373;476531.1411;5552464.152
119;AP22076820;10.03.2014 19:22;10.03.2014 19:40;476535.0051;5552818.491;476387.6436;5552228.604
120;AP22085118;11.03.2014 12:47;11.03.2014 13:00;476244.6107;5552472.835;476436.8656;5552219.678
121;AP22085118;11.03.2014 12:47;11.03.2014 13:00;476907.2034;5552603.38;476495.5995;5552742.484
122;AP22094108;11.03.2014 21:25;11.03.2014 21:35;476192.5949;5552315.138;476345.5568;5552404.383
123;AP22094108;11.03.2014 21:25;11.03.2014 21:35;476121.249;5552442.53;476322.9817;5552392.97
124;AP22107258;12.03.2014 17:57;12.03.2014 17:58;476467.8386;5552336.997;476258.2127;5552475.245
125;AP22107258;12.03.2014 17:57;12.03.2014 17:58;476141.1822;5552447.506;476398.4789;5552418.025
126;AP22120596;13.03.2014 15:24;13.03.2014 15:25;476708.3776;5552679.269;476449.4842;5552615.633
127;AP22120596;13.03.2014 15:24;13.03.2014 15:25;476540.471;5552772.143;476791.6898;5552487.045
128;AP22135426;14.03.2014 14:31;14.03.2014 15:27;476411.8194;5552365.583;476404.338;5552221.452
129;AP22135426;14.03.2014 14:31;14.03.2014 15:27;476317.2523;5552412.532;476454.3444;5552510.78
130;AP22135713;14.03.2014 14:46;14.03.2014 14:53;476721.8199;5552414.05;476132.402;5552357.809
131;AP22135713;14.03.2014 14:46;14.03.2014 14:53;476623.2176;5552592.983;476209.0699;5552306.156
132;AP22139267;14.03.2014 18:26;14.03.2014 18:58;476356.6184;5552406.754;476137.0803;5552446.482
133;AP22139267;14.03.2014 18:26;14.03.2014 18:58;476195.1056;5552313.769;476027.207;5552417.036
134;AP22140325;14.03.2014 19:49;14.03.2014 20:02;476427.6827;5552274.956;476297.2843;5552503.998
135;AP22140325;14.03.2014 19:49;14.03.2014 20:02;476214.6637;5552465.85;476334.5059;5552489.509
136;AP22155419;16.03.2014 17:02;16.03.2014 17:34;476558.3709;5552356.929;476268.8867;5552243.376
137;AP22155419;16.03.2014 17:02;16.03.2014 17:34;476289.8736;5552531.075;475974.1596;5552407.438
138;AP22164700;17.03.2014 14:19;17.03.2014 14:34;476408.3907;5552383.919;476549.3013;5552255.67
139;AP22164700;17.03.2014 14:19;17.03.2014 14:34;476145.7021;5552216.898;476283.4051;5552554.711
140;AP22170880;17.03.2014 22:23;17.03.2014 22:26;476194.0715;5552299.622;476345.5381;5552285.939
141;AP22170880;17.03.2014 22:23;17.03.2014 22:26;476653.9795;5552532.316;476490.276;5552518.611
142;AP22173841;18.03.2014 08:36;18.03.2014 08:38;476697.9619;5552332.579;476523.1517;5552805.336
143;AP22173841;18.03.2014 08:36;18.03.2014 08:38;476831.1494;5553025.537;476684.1382;5552461.505
144;AP22196277;19.03.2014 14:59;19.03.2014 15:05;476413.1386;5552418.248;476280.5307;5552565.214
145;AP22196277;19.03.2014 14:59;19.03.2014 15:05;476213.8262;5552573.471;476698.3559;5552317.425
146;AP22199083;19.03.2014 17:30;19.03.2014 17:57;476228.5122;5552582.782;476516.7911;5552788.149
147;AP22199083;19.03.2014 17:30;19.03.2014 17:57;476312.7058;5552437.187;476409.137;5552478.193
148;AP22200624;19.03.2014 18:28;19.03.2014 18:37;476397.1401;5552224.536;476421.5785;5552214.066
149;AP22200624;19.03.2014 18:28;19.03.2014 18:37;476428.0096;5552272.988;476316.317;5552399.384
150;AP22202419;19.03.2014 19:51;19.03.2014 19:52;476257.1386;5552330.282;476203.1932;5552377.775
151;AP22202419;19.03.2014 19:51;19.03.2014 19:52;476156.8387;5552451.414;475947.4441;5552285.457
152;AP22204617;19.03.2014 23:20;19.03.2014 23:24;476274.3992;5552587.618;476537.3178;5552821.647
153;AP22204617;19.03.2014 23:20;19.03.2014 23:24;476603.3943;5552453.038;476498.0666;5552747.8
154;AP22205182;20.03.2014 01:16;20.03.2014 01:19;476917.8051;5552512.792;476685.4506;5552468.153
155;AP22205182;20.03.2014 01:16;20.03.2014 01:19;476264.0342;5552298.125;476338.5793;5552249.624
156;AP22208351;20.03.2014 09:05;20.03.2014 09:10;476297.6591;5552263.961;476657.9338;5552264.024
157;AP22208351;20.03.2014 09:05;20.03.2014 09:10;476127.9709;5552444.208;476790.7763;5552697.943
158;AP22217836;20.03.2014 16:56;20.03.2014 16:59;476245.9653;5552377.9;476398.8257;5552460.373
159;AP22217836;20.03.2014 16:56;20.03.2014 16:59;476220.6515;5552506.186;476420.9685;5552315.374
160;AP22231050;21.03.2014 12:05;21.03.2014 12:22;476244.7792;5552382.954;476060.0623;5552259.381
161;AP22231050;21.03.2014 12:05;21.03.2014 12:22;476088.8387;5552434.337;476398.5847;5552430.937
162;AP22231809;21.03.2014 13:06;21.03.2014 13:08;476059.7915;5552260.764;476434.4173;5552506.437
163;AP22231809;21.03.2014 13:06;21.03.2014 13:08;476179.444;5552457.057;476437.0603;5552218.507
164;AP22233471;21.03.2014 15:11;21.03.2014 15:15;476075.2579;5552389.109;476182.0818;5552320.474
165;AP22233471;21.03.2014 15:11;21.03.2014 15:15;476680.0548;5552392.135;476266.8198;5552587.778
166;AP22254364;23.03.2014 12:37;23.03.2014 12:39;476336.4814;5552327.07;475951.0324;5552402.394
167;AP22254364;23.03.2014 12:37;23.03.2014 12:39;476301.8618;5552262.488;476061.0373;5552254.401
168;AP22271997;24.03.2014 17:49;24.03.2014 22:59;476881.0409;5552603.426;476683.068;5552562.593
169;AP22271997;24.03.2014 17:49;24.03.2014 22:59;476046.7536;5552418.386;476670.9578;5552394.732
170;AP22280868;25.03.2014 10:17;25.03.2014 10:56;476398.4952;5552420.003;476677.9909;5552265.529
171;AP22280868;25.03.2014 10:17;25.03.2014 10:56;476723.3695;5552571.305;476386.4091;5552413.138
172;AP22281854;25.03.2014 11:27;25.03.2014 11:30;476090.5;5552378.823;476526.7927;5552306.302
173;AP22281854;25.03.2014 11:27;25.03.2014 11:30;476527.313;5552316.553;476487.0919;5552340.734
174;AP22297172;26.03.2014 08:44;26.03.2014 08:55;476421.8697;5552309.949;476398.8027;5552457.567
175;AP22297172;26.03.2014 08:44;26.03.2014 08:55;476699.4181;5552469.936;476307.4889;5552309.508
176;AP22309685;26.03.2014 18:27;26.03.2014 18:34;476365.2661;5552493.867;476202.9052;5552462.914
177;AP22309685;26.03.2014 18:27;26.03.2014 18:34;476222.2866;5552490.067;476035.0277;5552191.654
178;AP22309702;26.03.2014 18:27;26.03.2014 18:32;476603.8578;5552631.165;476477.2934;5552698.976
179;AP22309702;26.03.2014 18:27;26.03.2014 18:32;476615.9823;5552607.253;476400.0398;5552498.362
180;AP22310761;26.03.2014 19:04;26.03.2014 19:08;476527.9791;5552410.491;476563.5193;5552446.038
181;AP22310761;26.03.2014 19:04;26.03.2014 19:08;476693.6491;5552398.689;476524.1912;5552803.733
182;AP22311790;26.03.2014 19:53;26.03.2014 20:01;476425.4688;5552543.662;476698.2221;5552327.07
183;AP22311790;26.03.2014 19:53;26.03.2014 20:01;476433.0641;5552506.142;476528.7991;5552373.222
184;AP22322880;27.03.2014 13:50;27.03.2014 14:14;476539.7243;5552773.575;476911.1949;5552583.554
185;AP22322880;27.03.2014 13:50;27.03.2014 14:14;476603.6553;5552751.011;476875.8024;5552977.877
186;AP22324349;27.03.2014 15:04;27.03.2014 15:06;476755.2698;5552603.786;476568.8596;5552864.694
187;AP22324349;27.03.2014 15:04;27.03.2014 15:06;476702.393;5552967.953;476708.2914;5552406.699
188;AP22339630;28.03.2014 12:30;28.03.2014 12:35;476325.5864;5552400.104;476638.8755;5552378.443
189;AP22339630;28.03.2014 12:30;28.03.2014 12:35;476509.4702;5552345.077;476428.8213;5552210.963
190;AP22343058;28.03.2014 15:31;28.03.2014 15:48;476364.3997;5552238.562;476220.7249;5552233.541
191;AP22343058;28.03.2014 15:31;28.03.2014 15:48;476068.4519;5552429.067;476092.0861;5552203.33
192;AP22344298;28.03.2014 16:41;28.03.2014 16:45;476908.1023;5552874.881;476901.4721;5552783.251
193;AP22344298;28.03.2014 16:41;28.03.2014 16:45;476917.6309;5552551.587;476740.5798;5552985.039
194;AP22355887;29.03.2014 13:15;29.03.2014 14:23;476176.8784;5552456.417;476308.3881;5552460.602
195;AP22355887;29.03.2014 13:15;29.03.2014 14:23;476436.4834;5552330.911;476365.5801;5552493.912
196;AP22360145;29.03.2014 15:57;29.03.2014 16:04;476026.6;5552413.16;476769.777;5552377.168
197;AP22360145;29.03.2014 15:57;29.03.2014 16:04;476040.1258;5552421.826;476697.0699;5552356.157
198;AP22363137;29.03.2014 17:55;29.03.2014 18:07;476299.5313;5552495.788;476527.7507;5552325.181
199;AP22363137;29.03.2014 17:55;29.03.2014 18:07;476640.3002;5552262.701;476567.9521;5552257.104
200;AP22370418;30.03.2014 11:10;30.03.2014 11:18;476037.4961;5552421.253;476034.7349;5552401.336
201;AP22370418;30.03.2014 11:10;30.03.2014 11:18;476205.2257;5552242.434;476401.4291;5552222.698
202;AP22371066;30.03.2014 12:00;30.03.2014 14:40;476446.6348;5552509.1;476000.1729;5552413.111
203;AP22371066;30.03.2014 12:00;30.03.2014 14:40;476201.4785;5552261.647;476398.8975;5552469.141
